TYPE_PANIER,DATE_PANIER,LEAD_ID,VEHICULE_ID,AGENCE_LIVRAISON_COM,PRIX_VENTE_TTC_COM,TYPE_LIVRAISON_COM
Commande,2024-01-01 20:08:16.110246,2882366701275,57689376267,Nantes,39594,A Domicile
Commande,2024-01-01 20:56:35.954656,2300540472783,15203231676,Nantes,18986,A Domicile
Commande,2024-01-01 21:44:55.799066,3386007381920,86270007773,Nantes,26988,En Agence
Commande,2024-01-01 22:33:15.643476,6701204681842,17813082817,Strasbourg,9557,A Domicile
Commande,2024-01-01 23:21:35.487886,4563091023594,54738672439,Paris Sud,9315,En Agence
Commande,2024-01-02 00:09:55.332296,1338827354000,74317395204,Nice,14269,En Agence
Commande,2024-01-02 00:58:15.176705,3755155384701,28073817862,Paris Sud,26297,En Agence
Commande,2024-01-02 01:46:35.021115,2281472698063,96146807182,Toulouse,29951,En Agence
Commande,2024-01-02 02:34:54.865525,2642727065808,11354083175,Montpellier,16974,En Agence
Commande,2024-01-02 03:23:14.709935,2882093573494,64232502239,Toulouse,15960,A Domicile
Commande,2024-01-02 04:11:34.554345,4150626424734,20405866640,Bordeaux,35045,En Agence
Commande,2024-01-02 04:59:54.398755,4004957075850,48087440556,Paris Sud,26274,En Agence
Commande,2024-01-02 05:48:14.243165,4785353092092,94486924085,Strasbourg,19769,A Domicile
Commande,2024-01-02 06:36:34.087575,3460374181172,32937475920,Lyon,9530,A Domicile
Commande,2024-01-02 07:24:53.931984,6062761297567,39730430996,Paris Nord,28960,En Agence
Commande,2024-01-02 08:13:13.776394,4302594946148,18433622403,Paris Nord,22717,A Domicile
Commande,2024-01-02 09:01:33.620804,5947709744364,22176823129,Nice,24172,A Domicile
Commande,2024-01-02 09:49:53.465214,5857870035474,65780009116,Nantes,22133,En Agence
Commande,2024-01-02 10:38:13.309624,9279615439149,70671605628,Nantes,38310,En Agence
Commande,2024-01-02 11:26:33.154034,9169370777703,75644500730,Toulouse,38768,A Domicile
Commande,2024-01-02 12:14:52.998444,9145919018469,32937475920,Toulouse,9530,A Domicile
Commande,2024-01-02 13:03:12.842853,3898103396467,63465327207,Bordeaux,30015,A Domicile
Commande,2024-01-02 13:51:32.687263,6371695888018,69786553674,Nice,12648,En Agence
Commande,2024-01-02 14:39:52.531673,6564139902456,30057148155,Toulouse,23780,A Domicile
Commande,2024-01-02 15:28:12.376083,7847902643783,17377779432,Toulon,33354,En Agence
Commande,2024-01-02 16:16:32.220493,2984262737063,41189676594,Paris Sud,49769,En Agence
Commande,2024-01-02 17:04:52.064903,7700548544642,30197741674,Bordeaux,13556,A Domicile
Commande,2024-01-02 17:53:11.909313,4005698459949,20527130312,Paris Sud,39992,A Domicile
Commande,2024-01-02 18:41:31.753723,7856119881850,83664016158,Toulon,12021,En Agence
Commande,2024-01-02 19:29:51.598132,8041025318624,84100379098,Lyon,22051,A Domicile
Commande,2024-01-02 20:18:11.442542,3333447978987,89561253840,Bordeaux,34641,En Agence
Commande,2024-01-02 21:06:31.286952,9917551981664,43995705710,Paris Nord,18511,En Agence
Commande,2024-01-02 21:54:51.131362,8594811204866,50390994932,Montpellier,39772,En Agence
Commande,2024-01-02 22:43:10.975772,5625672192973,59962076592,Lyon,22251,A Domicile
Commande,2024-01-02 23:31:30.820182,8540244446799,69435732446,Rennes,37167,A Domicile
Commande,2024-01-03 00:19:50.664592,4751390253069,53295061967,Nice,21773,En Agence
Commande,2024-01-03 01:08:10.509002,7353146096684,52826832550,Toulouse,16884,En Agence
Commande,2024-01-03 01:56:30.353411,2719563163439,57418325496,Paris Sud,8895,En Agence
Commande,2024-01-03 02:44:50.197821,3611987442888,11427191022,Lyon,20384,A Domicile
Commande,2024-01-03 03:33:10.042231,5018365095313,75481323682,Grenoble,24325,En Agence
Commande,2024-01-03 04:21:29.886641,7733267478688,89475783500,Lille,27232,En Agence
Commande,2024-01-03 05:09:49.731051,7136839049498,38362815027,Strasbourg,13325,A Domicile
Commande,2024-01-03 05:58:09.575461,1291530523611,10960709141,Lyon,29588,En Agence
Commande,2024-01-03 06:46:29.419871,4002221105599,25286793068,Nantes,29816,A Domicile
Commande,2024-01-03 07:34:49.264280,2165520926965,32202955647,Nice,16371,A Domicile
Commande,2024-01-03 08:23:09.108690,8794606586909,62947023012,Toulon,23668,En Agence
Commande,2024-01-03 09:11:28.953100,1610430146528,45762949156,Marseille,24884,A Domicile
Commande,2024-01-03 09:59:48.797510,1555097499999,48654593432,Toulon,21491,En Agence
Commande,2024-01-03 10:48:08.641920,4952389907120,78066398877,Toulon,13065,En Agence
Commande,2024-01-03 11:36:28.486330,8207832011367,90316558415,Nantes,18921,A Domicile
Commande,2024-01-03 12:24:48.330740,1200572877666,57699398058,Bordeaux,12932,A Domicile
Commande,2024-01-03 13:13:08.175150,7209101025383,12389889487,Nice,30341,A Domicile
Commande,2024-01-03 14:01:28.019559,8633912569976,32693566797,Grenoble,21920,En Agence
Commande,2024-01-03 14:49:47.863969,5437535615409,93783033212,Nice,20058,A Domicile
Commande,2024-01-03 15:38:07.708379,5512701772869,14316864727,Paris Sud,9414,En Agence
Commande,2024-01-03 16:26:27.552789,2587852922434,16248159142,Toulouse,23911,En Agence
Commande,2024-01-03 17:14:47.397199,7872408190276,50816182681,Paris Nord,17235,En Agence
Commande,2024-01-03 18:03:07.241609,8211931471282,30495481194,Toulouse,11904,A Domicile
Commande,2024-01-03 18:51:27.086019,3645761585690,81601370354,Paris Nord,25390,A Domicile
Commande,2024-01-03 19:39:46.930428,4599603749281,64616635453,Lyon,14058,En Agence
Commande,2024-01-03 20:28:06.774838,7793108050475,63311179116,Montpellier,15949,En Agence
Commande,2024-01-03 21:16:26.619248,4920034188573,30215010404,Rennes,22225,En Agence
Commande,2024-01-03 22:04:46.463658,3682624882530,50048001342,Nantes,13973,En Agence
Commande,2024-01-03 22:53:06.308068,7527762474348,51459529657,Toulon,27396,En Agence
Commande,2024-01-03 23:41:26.152478,9539210234961,18867093203,Paris Sud,25439,En Agence
Commande,2024-01-04 00:29:45.996888,8488900447620,31250398643,Lille,20415,A Domicile
Commande,2024-01-04 01:18:05.841298,9092937816977,60751142990,Lyon,23456,A Domicile
Commande,2024-01-04 02:06:25.685707,3921439469539,79352876639,Lyon,21148,A Domicile
Commande,2024-01-04 02:54:45.530117,6243214315380,97452513045,Toulon,33790,En Agence
Commande,2024-01-04 03:43:05.374527,9312824565907,93133441646,Nantes,20586,En Agence
Commande,2024-01-04 04:31:25.218937,4880717116933,18548763435,Paris Nord,12689,A Domicile
Commande,2024-01-04 05:19:45.063347,3635338299330,52179403961,Bordeaux,25908,En Agence
Commande,2024-01-04 06:08:04.907757,2720025070870,62011140818,Rennes,14516,En Agence
Commande,2024-01-04 06:56:24.752167,3956127010672,57530091941,Lyon,13410,En Agence
Commande,2024-01-04 07:44:44.596577,7902532134703,50013753921,Paris Nord,18424,En Agence
Commande,2024-01-04 08:33:04.440986,7780797010799,83673627743,Nantes,13927,En Agence
Commande,2024-01-04 09:21:24.285396,1964046221528,27549348682,Rennes,18632,En Agence
Commande,2024-01-04 10:09:44.129806,6407376200552,99160290132,Toulon,24743,A Domicile
Commande,2024-01-04 10:58:03.974216,8015209632438,51018451564,Nantes,22563,A Domicile
Commande,2024-01-04 11:46:23.818626,3207788227710,61705750907,Lille,23775,En Agence
Commande,2024-01-04 12:34:43.663036,2162407242413,83513207047,Toulon,22133,En Agence
Commande,2024-01-04 13:23:03.507446,5772335396392,87884582998,Nantes,31222,A Domicile
Commande,2024-01-04 14:11:23.351855,1586321893565,31590201824,Grenoble,19143,En Agence
Commande,2024-01-04 14:59:43.196265,4503924850963,68009480896,Toulon,20285,En Agence
Commande,2024-01-04 15:48:03.040675,2118058391768,47849701102,Marseille,31375,En Agence
Commande,2024-01-04 16:36:22.885085,2617832791253,76288526932,Lyon,7799,A Domicile
Commande,2024-01-04 17:24:42.729495,6530957895743,38270151812,Toulouse,8339,A Domicile
Commande,2024-01-04 18:13:02.573905,8211931471282,30053196624,Toulouse,17585,En Agence
Commande,2024-01-04 19:01:22.418315,6611773220383,65027107002,Paris Sud,30850,En Agence
Commande,2024-01-04 19:49:42.262725,1526623692021,46813801477,Nantes,21728,En Agence
Commande,2024-01-04 20:38:02.107134,5434639624387,16692447915,Paris Nord,34276,En Agence
Commande,2024-01-04 21:26:21.951544,4962680329601,23021740236,Lille,16547,En Agence
Commande,2024-01-04 22:14:41.795954,4049343358151,52281944621,Paris Sud,18040,En Agence
Commande,2024-01-04 23:03:01.640364,9178413820841,86107909857,Lyon,32459,En Agence
Commande,2024-01-04 23:51:21.484774,6889902758120,17397315351,Toulouse,13593,En Agence
Commande,2024-01-05 00:39:41.329184,9934172530633,86832306063,Montpellier,13013,En Agence
Commande,2024-01-05 01:28:01.173594,5437535615409,99401864797,Nantes,13473,A Domicile
Commande,2024-01-05 02:16:21.018004,1338827354000,71522386944,Toulon,32782,En Agence
Commande,2024-01-05 03:04:40.862413,6758132447405,79372717243,Paris Nord,25388,En Agence
Commande,2024-01-05 03:53:00.706823,4478609617873,12810308980,Lyon,20309,A Domicile
Commande,2024-01-05 04:41:20.551233,9650246541005,70585881618,Toulouse,22709,En Agence
Commande,2024-01-05 05:29:40.395643,4790232506112,42569966234,Marseille,38594,En Agence
Commande,2024-01-05 06:18:00.240053,8200201311105,43364637576,Bordeaux,18687,En Agence
Commande,2024-01-05 07:06:20.084463,9884924338741,69407186612,Grenoble,16507,En Agence
Commande,2024-01-05 07:54:39.928873,9163799026226,56642262052,Nice,25370,En Agence
Commande,2024-01-05 08:42:59.773282,8593231987335,79877780354,Lyon,24410,En Agence
Commande,2024-01-05 09:31:19.617692,2513143589663,35253431138,Toulon,33939,En Agence
Commande,2024-01-05 10:19:39.462102,4293394407717,76414578428,Strasbourg,31681,A Domicile
Commande,2024-01-05 11:07:59.306512,9262920271605,49899932513,Paris Nord,36526,En Agence
Commande,2024-01-05 11:56:19.150922,9604448826651,24252393008,Montpellier,29164,En Agence
Commande,2024-01-05 12:44:38.995332,5415719429314,51204789862,Rennes,16143,A Domicile
Commande,2024-01-05 13:32:58.839742,6872916296832,86421999980,Nantes,28760,A Domicile
Commande,2024-01-05 14:21:18.684152,4852099649906,32160960192,Paris Sud,32908,En Agence
Commande,2024-01-05 15:09:38.528561,8484253930778,64752576825,Strasbourg,21912,A Domicile
Commande,2024-01-05 15:57:58.372971,5818459377794,96671596415,Lyon,11408,A Domicile
Commande,2024-01-05 16:46:18.217381,6499488442500,34874515155,Marseille,34079,En Agence
Commande,2024-01-05 17:34:38.061791,7734644527147,27020893780,Paris Sud,17667,A Domicile
Commande,2024-01-05 18:22:57.906201,4141964363891,42330514001,Toulon,21155,En Agence
Commande,2024-01-05 19:11:17.750611,7674070162621,22024950239,Bordeaux,32065,En Agence
Commande,2024-01-05 19:59:37.595021,4698592861544,89873740724,Lille,11684,En Agence
Commande,2024-01-05 20:47:57.439430,5744741134665,94334529431,Marseille,28301,En Agence
Commande,2024-01-05 21:36:17.283840,6049305003109,46674183886,Nantes,20677,A Domicile
Commande,2024-01-05 22:24:37.128250,6736559484917,46349058116,Strasbourg,10725,En Agence
Commande,2024-01-05 23:12:56.972660,6743833903709,41247104223,Rennes,13881,A Domicile
Commande,2024-01-06 00:01:16.817070,7408099279669,65506822172,Paris Nord,14447,En Agence
Commande,2024-01-06 00:49:36.661480,3818790700431,94238459590,Toulouse,22574,En Agence
Commande,2024-01-06 01:37:56.505890,9197529403296,15419855674,Bordeaux,23711,A Domicile
Commande,2024-01-06 02:26:16.350300,9227544032129,31329137088,Rennes,24407,En Agence
Commande,2024-01-06 03:14:36.194709,3779323082891,82026760567,Rennes,26325,A Domicile
Commande,2024-01-06 04:02:56.039119,8538117556141,95346858666,Paris Nord,14118,A Domicile
Commande,2024-01-06 04:51:15.883529,4521291869012,46872015035,Lille,13886,En Agence
Commande,2024-01-06 05:39:35.727939,2190170463249,16132543304,Montpellier,13571,En Agence
Commande,2024-01-06 06:27:55.572349,2958928545980,88624937418,Rennes,30826,En Agence
Commande,2024-01-06 07:16:15.416759,9299846479070,74964346083,Nantes,36501,A Domicile
Commande,2024-01-06 08:04:35.261169,3580558963068,56648351748,Grenoble,14068,A Domicile
Commande,2024-01-06 08:52:55.105579,9190895306317,44125074163,Paris Nord,38763,En Agence
Commande,2024-01-06 09:41:14.949988,6274354455224,40160932845,Nice,24340,En Agence
Commande,2024-01-06 10:29:34.794398,7320992383223,84210580871,Paris Sud,8163,En Agence
Commande,2024-01-06 11:17:54.638808,2552879967417,95058252007,Marseille,19995,En Agence
Commande,2024-01-06 12:06:14.483218,4390423780755,58654078535,Rennes,20738,A Domicile
Commande,2024-01-06 12:54:34.327628,4518855373472,38884361013,Lille,22136,En Agence
Commande,2024-01-06 13:42:54.172038,5394325107029,31023192917,Montpellier,23672,En Agence
Commande,2024-01-06 14:31:14.016448,2513143589663,37639310440,Paris Sud,13796,A Domicile
Commande,2024-01-06 15:19:33.860857,3220340667886,45743924437,Toulon,33701,En Agence
Commande,2024-01-06 16:07:53.705267,4507021143176,86832306063,Paris Nord,13013,En Agence
Commande,2024-01-06 16:56:13.549677,9243353768813,90193515317,Paris Nord,22819,En Agence
Commande,2024-01-06 17:44:33.394087,6790924056246,20815957619,Lille,19478,A Domicile
Commande,2024-01-06 18:32:53.238497,5240018283974,69830762108,Nice,29363,A Domicile
Commande,2024-01-06 19:21:13.082907,8874243695583,43613482605,Paris Nord,28082,En Agence
Commande,2024-01-06 20:09:32.927317,1047471228166,17490794640,Marseille,24523,En Agence
Commande,2024-01-06 20:57:52.771727,2101246692697,14438119662,Bordeaux,32114,A Domicile
Commande,2024-01-06 21:46:12.616136,5050527500241,76128405070,Toulon,13746,En Agence
Commande,2024-01-06 22:34:32.460546,4362663151657,81211296882,Toulouse,26571,En Agence
Commande,2024-01-06 23:22:52.304956,4533525257218,90197135710,Toulouse,20735,A Domicile
Commande,2024-01-07 00:11:12.149366,9684730202415,15671182647,Lyon,24858,En Agence
Commande,2024-01-07 00:59:31.993776,5228749933679,18625954268,Nantes,25238,En Agence
Commande,2024-01-07 01:47:51.838186,1905518336751,97160456905,Toulon,32949,A Domicile
Commande,2024-01-07 02:36:11.682596,2975104974952,14248944815,Strasbourg,22974,A Domicile
Commande,2024-01-07 03:24:31.527006,1720965576745,92112195931,Paris Nord,33659,En Agence
Commande,2024-01-07 04:12:51.371415,5317579849763,78189501126,Grenoble,8294,En Agence
Commande,2024-01-07 05:01:11.215825,9242899640241,55913172500,Lille,13848,A Domicile
Commande,2024-01-07 05:49:31.060235,7876143992674,73995652093,Grenoble,22723,En Agence
Commande,2024-01-07 06:37:50.904645,2360456514133,37499814971,Toulouse,27059,A Domicile
Commande,2024-01-07 07:26:10.749055,2578661668298,24734622341,Paris Nord,33356,A Domicile
Commande,2024-01-07 08:14:30.593465,9979312184704,62011140818,Montpellier,14516,En Agence
Commande,2024-01-07 09:02:50.437875,8496455207406,97433317648,Lille,24499,A Domicile
Commande,2024-01-07 09:51:10.282284,3831783430907,87974094444,Marseille,12420,En Agence
Commande,2024-01-07 10:39:30.126694,6557880788942,82143792498,Lille,19452,En Agence
Commande,2024-01-07 11:27:49.971104,4179067506137,87861014844,Rennes,11429,En Agence
Commande,2024-01-07 12:16:09.815514,7382039021945,39166049887,Nice,20689,En Agence
Commande,2024-01-07 13:04:29.659924,9720032253686,80401932907,Bordeaux,25421,A Domicile
Commande,2024-01-07 13:52:49.504334,7980216401822,37812993608,Toulouse,37092,En Agence
Commande,2024-01-07 14:41:09.348744,8447435179566,70396034613,Toulon,20495,A Domicile
Commande,2024-01-07 15:29:29.193154,3788537082824,68969978568,Lille,23821,A Domicile
Commande,2024-01-07 16:17:49.037563,7268639445059,31768016954,Toulon,26509,En Agence
Commande,2024-01-07 17:06:08.881973,6168046974653,95672732600,Toulon,18168,En Agence
Commande,2024-01-07 17:54:28.726383,8840355214074,30856312302,Toulouse,20435,En Agence
Commande,2024-01-07 18:42:48.570793,8801355796457,44628847989,Paris Nord,29957,A Domicile
Commande,2024-01-07 19:31:08.415203,9137362352323,65484141691,Paris Nord,6254,En Agence
Commande,2024-01-07 20:19:28.259613,7156936982382,44564702721,Paris Sud,36300,En Agence
Commande,2024-01-07 21:07:48.104023,5018405308302,31862705283,Montpellier,28166,En Agence
Commande,2024-01-07 21:56:07.948432,4920034188573,14229784874,Montpellier,26819,A Domicile
Commande,2024-01-07 22:44:27.792842,9887224387009,73773458225,Nice,27004,En Agence
Commande,2024-01-07 23:32:47.637252,1770188515347,28617968684,Nice,15955,A Domicile
Commande,2024-01-08 00:21:07.481662,2234518644329,18807466542,Paris Sud,25261,En Agence
Commande,2024-01-08 01:09:27.326072,5653016378006,92359600162,Toulouse,16585,En Agence
Commande,2024-01-08 01:57:47.170482,5164669998150,45156772713,Rennes,18130,En Agence
Commande,2024-01-08 02:46:07.014892,7776714569057,23008913279,Rennes,32003,A Domicile
Commande,2024-01-08 03:34:26.859302,3324135858089,89109216317,Bordeaux,11715,A Domicile
Commande,2024-01-08 04:22:46.703711,8611771307042,66977391924,Toulon,15536,En Agence
Commande,2024-01-08 05:11:06.548121,7427832960416,31473081565,Toulon,9864,En Agence
Commande,2024-01-08 05:59:26.392531,2238214563360,38239873997,Nantes,17661,En Agence
Commande,2024-01-08 06:47:46.236941,9787847639547,43424953558,Strasbourg,16585,En Agence
Commande,2024-01-08 07:36:06.081351,2930724762084,29449662365,Rennes,25280,En Agence
Commande,2024-01-08 08:24:25.925761,1684890005218,75869780161,Rennes,26684,En Agence
Commande,2024-01-08 09:12:45.770171,2523130168242,42311339924,Rennes,27886,En Agence
Commande,2024-01-08 10:01:05.614581,1426273461306,10907967496,Rennes,20555,A Domicile
Commande,2024-01-08 10:49:25.458990,2855764872992,15557993302,Toulon,16898,En Agence
Commande,2024-01-08 11:37:45.303400,3464425791606,44411191331,Lyon,23401,A Domicile
Commande,2024-01-08 12:26:05.147810,3397432881038,56319811284,Lille,26509,En Agence
Commande,2024-01-08 13:14:24.992220,6204785865445,59769799581,Paris Nord,21185,En Agence
Commande,2024-01-08 14:02:44.836630,2525079928340,77580300857,Lyon,17461,En Agence
Commande,2024-01-08 14:51:04.681040,9825637013552,21175151337,Paris Sud,8494,A Domicile
Commande,2024-01-08 15:39:24.525450,7981610417010,91447631736,Toulouse,20991,En Agence
Commande,2024-01-08 16:27:44.369859,2440720959016,93015100970,Grenoble,12167,A Domicile
Commande,2024-01-08 17:16:04.214269,5473003150005,72747283896,Grenoble,22650,En Agence
Commande,2024-01-08 18:04:24.058679,7236160921327,64967646045,Nice,14799,En Agence
Commande,2024-01-08 18:52:43.903089,5437374012130,49075292284,Paris Nord,28246,A Domicile
Commande,2024-01-08 19:41:03.747499,6584225522479,57662829364,Strasbourg,21802,A Domicile
Commande,2024-01-08 20:29:23.591909,3071524510125,97860949442,Nice,41173,A Domicile
Commande,2024-01-08 21:17:43.436319,3253240679980,11358537615,Rennes,32464,A Domicile
Commande,2024-01-08 22:06:03.280729,5254199246062,79123841753,Nice,23027,A Domicile
Commande,2024-01-08 22:54:23.125138,2713910000269,64967063772,Rennes,33002,En Agence
Commande,2024-01-08 23:42:42.969548,9421680110469,11754767319,Nice,21442,En Agence
Commande,2024-01-09 00:31:02.813958,2829733636137,77700584014,Lyon,8858,A Domicile
Commande,2024-01-09 01:19:22.658368,5247414860225,22843010224,Toulouse,19209,A Domicile
Commande,2024-01-09 02:07:42.502778,3309901140888,64408077728,Paris Sud,22948,A Domicile
Commande,2024-01-09 02:56:02.347188,4933024548021,96671596415,Bordeaux,11408,En Agence
Commande,2024-01-09 03:44:22.191598,5458339158793,52001497934,Paris Sud,15779,A Domicile
Commande,2024-01-09 04:32:42.036008,9874053419030,26718239746,Nantes,24943,En Agence
Commande,2024-01-09 05:21:01.880417,7350581579179,47262120144,Bordeaux,17093,A Domicile
Commande,2024-01-09 06:09:21.724827,3299574153526,74465726690,Strasbourg,27458,A Domicile
Commande,2024-01-09 06:57:41.569237,6581608434735,13825116264,Toulouse,28862,En Agence
Commande,2024-01-09 07:46:01.413647,5415719429314,39534296599,Grenoble,15486,En Agence
Commande,2024-01-09 08:34:21.258057,1941307805748,94501322144,Strasbourg,22764,A Domicile
Commande,2024-01-09 09:22:41.102467,4322100631065,88668641145,Nice,22913,En Agence
Commande,2024-01-09 10:11:00.946877,8309026550706,55723964895,Lille,26563,A Domicile
Commande,2024-01-09 10:59:20.791286,5709108586974,69018191518,Nantes,15727,En Agence
Commande,2024-01-09 11:47:40.635696,8377712492800,88624937418,Paris Nord,30826,En Agence
Commande,2024-01-09 12:36:00.480106,6936121522158,44022852288,Lille,10655,En Agence
Commande,2024-01-09 13:24:20.324516,3999336639563,33528632175,Grenoble,23483,En Agence
Commande,2024-01-09 14:12:40.168926,2738367309134,60566793302,Lille,24893,En Agence
Commande,2024-01-09 15:01:00.013336,4936616018636,60954280720,Rennes,22934,A Domicile
Commande,2024-01-09 15:49:19.857746,2281093590092,91661726899,Paris Sud,27359,A Domicile
Commande,2024-01-09 16:37:39.702156,9322893395580,33087966185,Toulon,48208,En Agence
Commande,2024-01-09 17:25:59.546565,8790524484952,97211950845,Paris Sud,22038,En Agence
Commande,2024-01-09 18:14:19.390975,2237749160135,62610406728,Nantes,14239,En Agence
Commande,2024-01-09 19:02:39.235385,2121469158159,15662225133,Toulon,38488,A Domicile
Commande,2024-01-09 19:50:59.079795,4912578249729,52356684971,Bordeaux,14454,En Agence
Commande,2024-01-09 20:39:18.924205,9631110708490,50456310908,Bordeaux,16466,En Agence
Commande,2024-01-09 21:27:38.768615,1634092365821,56573832138,Paris Nord,11878,A Domicile
Commande,2024-01-09 22:15:58.613025,9865310044519,35793030448,Toulouse,17541,A Domicile
Commande,2024-01-09 23:04:18.457434,4427004776217,50025719828,Strasbourg,34954,A Domicile
Commande,2024-01-09 23:52:38.301844,6078217706647,70312114439,Marseille,32158,En Agence
Commande,2024-01-10 00:40:58.146254,3723193251561,83513207047,Grenoble,22133,A Domicile
Commande,2024-01-10 01:29:17.990664,2402702910047,31329137088,Lyon,24407,A Domicile
Commande,2024-01-10 02:17:37.835074,7582289622147,23008913279,Rennes,32003,En Agence
Commande,2024-01-10 03:05:57.679484,5398287725089,58699006610,Rennes,24253,A Domicile
Commande,2024-01-10 03:54:17.523894,7533764848499,18640128179,Paris Nord,18102,A Domicile
Commande,2024-01-10 04:42:37.368304,1617901021022,88895671398,Marseille,16328,En Agence
Commande,2024-01-10 05:30:57.212713,5451899798920,77130593988,Paris Sud,19130,En Agence
Commande,2024-01-10 06:19:17.057123,8348137559891,69359760430,Bordeaux,31012,En Agence
Commande,2024-01-10 07:07:36.901533,6221117157700,62638428910,Nice,18516,A Domicile
Commande,2024-01-10 07:55:56.745943,5756500139368,55970729407,Rennes,43258,En Agence
Commande,2024-01-10 08:44:16.590353,3031840341111,42005450180,Paris Nord,20660,En Agence
Commande,2024-01-10 09:32:36.434763,9420046112193,33855257359,Lille,12216,En Agence
Commande,2024-01-10 10:20:56.279173,8221574752675,40440149880,Lille,29895,En Agence
Commande,2024-01-10 11:09:16.123583,9495482544940,63148758864,Bordeaux,20037,A Domicile
Commande,2024-01-10 11:57:35.967992,8687297190876,31963530744,Paris Nord,27869,En Agence
Commande,2024-01-10 12:45:55.812402,5623904887575,11427191022,Lyon,20384,A Domicile
Commande,2024-01-10 13:34:15.656812,6106289479023,66031916833,Nantes,20141,A Domicile
Commande,2024-01-10 14:22:35.501222,4268355841614,27034735096,Bordeaux,24485,A Domicile
Commande,2024-01-10 15:10:55.345632,1978899672763,24368598373,Montpellier,14813,A Domicile
Commande,2024-01-10 15:59:15.190042,3257964830210,30642071787,Lille,29972,En Agence
Commande,2024-01-10 16:47:35.034452,1574120415552,40073298942,Marseille,16353,A Domicile
Commande,2024-01-10 17:35:54.878861,5713275400378,98019431587,Bordeaux,7952,En Agence
Commande,2024-01-10 18:24:14.723271,2707029733958,29547953867,Lyon,35231,En Agence
Commande,2024-01-10 19:12:34.567681,9130146746543,85500870596,Strasbourg,23690,A Domicile
Commande,2024-01-10 20:00:54.412091,1267975849176,96703725630,Grenoble,26495,A Domicile
Commande,2024-01-10 20:49:14.256501,6791999050249,48425585257,Lyon,21854,En Agence
Commande,2024-01-10 21:37:34.100911,2872750349068,52696103498,Toulouse,17797,En Agence
Commande,2024-01-10 22:25:53.945321,7830060574458,19549404668,Nantes,21019,A Domicile
Commande,2024-01-10 23:14:13.789731,7354638865973,55477745466,Grenoble,15901,En Agence
Commande,2024-01-11 00:02:33.634140,5208989776044,34105070967,Paris Sud,15774,A Domicile
Commande,2024-01-11 00:50:53.478550,3123590966220,12919174837,Nantes,37294,A Domicile
Commande,2024-01-11 01:39:13.322960,8026578139464,17652225838,Lyon,15085,A Domicile
Commande,2024-01-11 02:27:33.167370,9094408998062,33531363691,Lyon,28149,En Agence
Commande,2024-01-11 03:15:53.011780,7809374043121,66847337920,Bordeaux,18072,En Agence
Commande,2024-01-11 04:04:12.856190,8766093014303,53885719864,Marseille,12276,En Agence
Commande,2024-01-11 04:52:32.700600,4366273259518,60364358239,Rennes,21097,A Domicile
Commande,2024-01-11 05:40:52.545010,2494537656946,21946047508,Nantes,16969,En Agence
Commande,2024-01-11 06:29:12.389419,5254199246062,72241492631,Lyon,9127,A Domicile
